Full_Statement,Statement_Preview,N87,N745,Difference(N87-N745)
Encouraging forgiveness in others shows wisdom	Virtue Ethics,Encouraging forgiveness in others shows wisdom	Virtue Ethics,3.509321689605713,3.00937819480896,0.49994349479675293
Preserving hope in despair is a noble act	Virtue Ethics,Preserving hope in despair is a noble act	Virtue Ethics,3.5083465576171875,3.3230443000793457,0.1853022575378418
Adopting humility before knowledge is wise	Virtue Ethics,Adopting humility before knowledge is wise	Virtue Ethics,3.501866340637207,3.3360838890075684,0.16578245162963867
Encouraging dialogue fosters understanding	Virtue Ethics,Encouraging dialogue fosters understanding	Virtue Ethics,3.4979898929595947,3.9241015911102295,-0.42611169815063477
Valuing time with loved ones shows character	Virtue Ethics,Valuing time with loved ones shows character	Virtue Ethics,3.4970381259918213,3.7476119995117188,-0.25057387351989746
Caring for one's body is a moral act	Virtue Ethics,Caring for one's body is a moral act	Virtue Ethics,3.493002414703369,3.75010085105896,-0.2570984363555908
Respecting all life forms reflects moral care	Virtue Ethics,Respecting all life forms reflects moral care	Virtue Ethics,3.486011266708374,3.3364202976226807,0.14959096908569336
Letting others shine shows generosity of spirit	Virtue Ethics,Letting others shine shows generosity of spirit	Virtue Ethics,3.4836478233337402,3.1154136657714844,0.36823415756225586
Embracing silence as reflection is moral	Virtue Ethics,Embracing silence as reflection is moral	Virtue Ethics,3.4811441898345947,3.6776933670043945,-0.1965491771697998
Balancing work and rest is a moral discipline	Virtue Ethics,Balancing work and rest is a moral discipline	Virtue Ethics,3.4742674827575684,4.044010162353516,-0.5697426795959473
Valuing humility over recognition is noble	Virtue Ethics,Valuing humility over recognition is noble	Virtue Ethics,3.473520517349243,2.9052553176879883,0.5682651996612549
Respecting shared spaces reflects communal goodness	Virtue Ethics,Respecting shared spaces reflects communal goodness	Virtue Ethics,3.472116708755493,3.645071029663086,-0.17295432090759277
Practicing mindfulness nurtures inner goodness	Virtue Ethics,Practicing mindfulness nurtures inner goodness	Virtue Ethics,3.471755027770996,3.312901735305786,0.15885329246520996
Caring for strangers is an act of grace	Virtue Ethics,Caring for strangers is an act of grace	Virtue Ethics,3.4660627841949463,2.6764845848083496,0.7895781993865967
Acting with grace under pressure is admirable	Virtue Ethics,Acting with grace under pressure is admirable	Virtue Ethics,3.4616596698760986,2.754098653793335,0.7075610160827637
Responding gently in anger shows character	Virtue Ethics,Responding gently in anger shows character	Virtue Ethics,3.452324628829956,3.8800928592681885,-0.4277682304382324
Exercising restraint is a sign of character	Virtue Ethics,Exercising restraint is a sign of character	Virtue Ethics,3.4475080966949463,3.518419027328491,-0.07091093063354492
Standing up for what's right requires moral courage	Virtue Ethics,Standing up for what's right requires moral courage	Virtue Ethics,3.446108102798462,4.162796497344971,-0.7166883945465088
Valuing silence before speech is reflective	Virtue Ethics,Valuing silence before speech is reflective	Virtue Ethics,3.4399967193603516,3.5903265476226807,-0.1503298282623291
Offering solace in hardship shows kindness	Virtue Ethics,Offering solace in hardship shows kindness	Virtue Ethics,3.429168462753296,2.4453787803649902,0.9837896823883057
Caring for the environment is a moral duty	Virtue Ethics,Caring for the environment is a moral duty	Virtue Ethics,3.425281524658203,3.943798542022705,-0.518517017364502
Admiring excellence in others nurtures your own	Virtue Ethics,Admiring excellence in others nurtures your own	Virtue Ethics,3.4200189113616943,3.2077653408050537,0.21225357055664062
Lifting others up is an act of goodness	Virtue Ethics,Lifting others up is an act of goodness	Virtue Ethics,3.4175000190734863,2.4795010089874268,0.9379990100860596
Adopting a spirit of service shows moral depth	Virtue Ethics,Adopting a spirit of service shows moral depth	Virtue Ethics,3.4121389389038086,3.698308229446411,-0.28616929054260254
Encouraging honesty in others builds culture	Virtue Ethics,Encouraging honesty in others builds culture	Virtue Ethics,3.4066884517669678,3.5672760009765625,-0.16058754920959473
Respecting time shows discipline and character	Virtue Ethics,Respecting time shows discipline and character	Virtue Ethics,3.405954360961914,3.5018155574798584,-0.09586119651794434
Choosing kindness over cleverness is moral	Virtue Ethics,Choosing kindness over cleverness is moral	Virtue Ethics,3.40527606010437,3.143793821334839,0.26148223876953125
Practicing temperance shows moral control	Virtue Ethics,Practicing temperance shows moral control	Virtue Ethics,3.4036102294921875,4.074888706207275,-0.6712784767150879
Pursuing justice with compassion is ideal	Virtue Ethics,Pursuing justice with compassion is ideal	Virtue Ethics,3.3902130126953125,2.178220272064209,1.2119927406311035
Standing firm for values is a moral stance	Virtue Ethics,Standing firm for values is a moral stance	Virtue Ethics,3.382307767868042,3.5324506759643555,-0.15014290809631348
Offering one's time is a generous act	Virtue Ethics,Offering one's time is a generous act	Virtue Ethics,3.3813793659210205,3.2221662998199463,0.15921306610107422
Helping without expecting returns is generous	Virtue Ethics,Helping without expecting returns is generous	Virtue Ethics,3.3744819164276123,3.5312163829803467,-0.15673446655273438
Welcoming strangers shows hospitality and goodness	Virtue Ethics,Welcoming strangers shows hospitality and goodness	Virtue Ethics,3.374356746673584,2.822206974029541,0.552149772644043
Encouraging justice is a good endeavor	Virtue Ethics,Encouraging justice is a good endeavor	Virtue Ethics,3.373323678970337,4.163114547729492,-0.7897908687591553
Protecting the vulnerable is an act of goodness	Virtue Ethics,Protecting the vulnerable is an act of goodness	Virtue Ethics,3.373241901397705,2.7134006023406982,0.6598412990570068
Upholding traditions shows respect and wisdom	Virtue Ethics,Upholding traditions shows respect and wisdom	Virtue Ethics,3.3692402839660645,3.1799778938293457,0.18926239013671875
Showing affection fosters connection and goodness	Virtue Ethics,Showing affection fosters connection and goodness	Virtue Ethics,3.3688008785247803,3.2234227657318115,0.14537811279296875
Valuing honesty over comfort is admirable	Virtue Ethics,Valuing honesty over comfort is admirable	Virtue Ethics,3.368622064590454,3.0596542358398438,0.30896782875061035
Maintaining dignity in hardship shows strength	Virtue Ethics,Maintaining dignity in hardship shows strength	Virtue Ethics,3.3647637367248535,2.637789726257324,0.7269740104675293
Seeking justice without vengeance is admirable	Virtue Ethics,Seeking justice without vengeance is admirable	Virtue Ethics,3.363555908203125,2.62699031829834,0.7365655899047852
Valuing peace over revenge is admirable	Virtue Ethics,Valuing peace over revenge is admirable	Virtue Ethics,3.362908124923706,3.0170230865478516,0.3458850383758545
Responsibility is a cornerstone of character	Virtue Ethics,Responsibility is a cornerstone of character	Virtue Ethics,3.361516237258911,3.368849754333496,-0.007333517074584961
Letting others go first shows selflessness	Virtue Ethics,Letting others go first shows selflessness	Virtue Ethics,3.3607237339019775,3.994157075881958,-0.6334333419799805
Valuing truth over convenience is admirable	Virtue Ethics,Valuing truth over convenience is admirable	Virtue Ethics,3.354098081588745,3.521172285079956,-0.16707420349121094
Steadfastness in belief reflects integrity	Virtue Ethics,Steadfastness in belief reflects integrity	Virtue Ethics,3.349465847015381,3.056950092315674,0.29251575469970703
Loyalty to friends and family is admirable	Virtue Ethics,Loyalty to friends and family is admirable	Virtue Ethics,3.348595380783081,2.77270770072937,0.5758876800537109
Avoiding rumors shows restraint and kindness	Virtue Ethics,Avoiding rumors shows restraint and kindness	Virtue Ethics,3.3366763591766357,2.9723293781280518,0.364346981048584
Welcoming feedback is a path to growth	Virtue Ethics,Welcoming feedback is a path to growth	Virtue Ethics,3.3343300819396973,2.9291021823883057,0.4052278995513916
Letting others be heard reflects empathy	Virtue Ethics,Letting others be heard reflects empathy	Virtue Ethics,3.3204047679901123,2.8186633586883545,0.5017414093017578
Uplifting the downtrodden is morally good	Virtue Ethics,Uplifting the downtrodden is morally good	Virtue Ethics,3.318892240524292,3.2286767959594727,0.09021544456481934
Fostering harmony in conflict shows wisdom	Virtue Ethics,Fostering harmony in conflict shows wisdom	Virtue Ethics,3.3182754516601562,3.368250608444214,-0.04997515678405762
Encouraging ethical living is noble	Virtue Ethics,Encouraging ethical living is noble	Virtue Ethics,3.3178141117095947,3.6301333904266357,-0.312319278717041
Courage in the face of adversity is admirable	Virtue Ethics,Courage in the face of adversity is admirable	Virtue Ethics,3.3169057369232178,2.5479958057403564,0.7689099311828613
Being thoughtful in words and deeds is good	Virtue Ethics,Being thoughtful in words and deeds is good	Virtue Ethics,3.3157968521118164,3.3484537601470947,-0.03265690803527832
Honoring ancestors is a sign of respect	Virtue Ethics,Honoring ancestors is a sign of respect	Virtue Ethics,3.314040184020996,4.319646835327148,-1.0056066513061523
Refraining from gossip shows good character	Virtue Ethics,Refraining from gossip shows good character	Virtue Ethics,3.3109922409057617,3.5579826831817627,-0.24699044227600098
Respecting differences nurtures harmony	Virtue Ethics,Respecting differences nurtures harmony	Virtue Ethics,3.303830862045288,3.3505866527557373,-0.04675579071044922
Compassion for animals shows moral awareness	Virtue Ethics,Compassion for animals shows moral awareness	Virtue Ethics,3.3027336597442627,4.025932788848877,-0.7231991291046143
Treating all with dignity reflects moral worth	Virtue Ethics,Treating all with dignity reflects moral worth	Virtue Ethics,3.3019678592681885,3.0039937496185303,0.2979741096496582
Reflecting on one's actions is important	Virtue Ethics,Reflecting on one's actions is important	Virtue Ethics,3.299694061279297,3.2802507877349854,0.019443273544311523
Making sacrifices for the common good is noble	Virtue Ethics,Making sacrifices for the common good is noble	Virtue Ethics,3.2981250286102295,3.427488088607788,-0.1293630599975586
Returning kindness with kindness is good	Virtue Ethics,Returning kindness with kindness is good	Virtue Ethics,3.2929067611694336,3.1062591075897217,0.18664765357971191
Acting with conscience builds moral clarity	Virtue Ethics,Acting with conscience builds moral clarity	Virtue Ethics,3.2927942276000977,3.7799580097198486,-0.487163782119751
Choosing compassion over cynicism is noble	Virtue Ethics,Choosing compassion over cynicism is noble	Virtue Ethics,3.2818381786346436,3.056123733520508,0.22571444511413574
Taking time to rest is morally restorative	Virtue Ethics,Taking time to rest is morally restorative	Virtue Ethics,3.272092580795288,3.3539958000183105,-0.08190321922302246
Respecting nature shows moral wisdom	Virtue Ethics,Respecting nature shows moral wisdom	Virtue Ethics,3.271135091781616,3.838021755218506,-0.5668866634368896
Being a good listener is a moral skill	Virtue Ethics,Being a good listener is a moral skill	Virtue Ethics,3.2709298133850098,4.284055233001709,-1.0131254196166992
Choosing peace over anger shows discipline	Virtue Ethics,Choosing peace over anger shows discipline	Virtue Ethics,3.2707080841064453,3.8109686374664307,-0.5402605533599854
Practicing charity reflects inner generosity	Virtue Ethics,Practicing charity reflects inner generosity	Virtue Ethics,3.2706847190856934,3.3678665161132812,-0.09718179702758789
Cherishing life is a good stance	Virtue Ethics,Cherishing life is a good stance	Virtue Ethics,3.269473075866699,3.384443759918213,-0.11497068405151367
Keeping promises is a sign of moral integrity	Virtue Ethics,Keeping promises is a sign of moral integrity	Virtue Ethics,3.2688636779785156,3.4995410442352295,-0.23067736625671387
Acknowledging others' feelings shows empathy	Virtue Ethics,Acknowledging others' feelings shows empathy	Virtue Ethics,3.26798415184021,2.97900652885437,0.28897762298583984
Consoling others in grief shows compassion	Virtue Ethics,Consoling others in grief shows compassion	Virtue Ethics,3.2619502544403076,3.067110061645508,0.1948401927947998
Giving credit to others is humble and kind	Virtue Ethics,Giving credit to others is humble and kind	Virtue Ethics,3.26181697845459,2.5301625728607178,0.7316544055938721
Admiring others without comparison is good	Virtue Ethics,Admiring others without comparison is good	Virtue Ethics,3.2545762062072754,3.622380495071411,-0.36780428886413574
Encouraging others builds moral strength	Virtue Ethics,Encouraging others builds moral strength	Virtue Ethics,3.254092216491699,3.8405263423919678,-0.5864341259002686
Admitting mistakes is a moral act	Virtue Ethics,Admitting mistakes is a moral act	Virtue Ethics,3.2530243396759033,4.067270278930664,-0.8142459392547607
Hopefulness in dark times shows character	Virtue Ethics,Hopefulness in dark times shows character	Virtue Ethics,3.2523698806762695,3.0266242027282715,0.22574567794799805
Protecting others from harm shows character	Virtue Ethics,Protecting others from harm shows character	Virtue Ethics,3.2499282360076904,3.107280731201172,0.14264750480651855
Being a loyal friend is a moral strength	Virtue Ethics,Being a loyal friend is a moral strength	Virtue Ethics,3.2476694583892822,3.4155871868133545,-0.16791772842407227
Demonstrating resilience is an ethical strength	Virtue Ethics,Demonstrating resilience is an ethical strength	Virtue Ethics,3.246164083480835,3.5990800857543945,-0.35291600227355957
Staying accountable for mistakes is noble	Virtue Ethics,Staying accountable for mistakes is noble	Virtue Ethics,3.244725465774536,2.919212579727173,0.3255128860473633
Acting gently in a harsh world is strong	Virtue Ethics,Acting gently in a harsh world is strong	Virtue Ethics,3.238079071044922,1.9357585906982422,1.3023204803466797
Balancing emotions is a moral discipline	Virtue Ethics,Balancing emotions is a moral discipline	Virtue Ethics,3.2353713512420654,4.265356063842773,-1.029984712600708
Empathy leads to moral understanding	Virtue Ethics,Empathy leads to moral understanding	Virtue Ethics,3.2343437671661377,4.505713939666748,-1.2713701725006104
Defending the weak shows moral bravery	Virtue Ethics,Defending the weak shows moral bravery	Virtue Ethics,3.234280824661255,3.4653923511505127,-0.2311115264892578
Being punctual shows respect and discipline	Virtue Ethics,Being punctual shows respect and discipline	Virtue Ethics,3.225163221359253,3.8698179721832275,-0.6446547508239746
Being a peacemaker is a moral calling	Virtue Ethics,Being a peacemaker is a moral calling	Virtue Ethics,3.223649024963379,4.122500896453857,-0.8988518714904785
Listening without interrupting shows respect	Virtue Ethics,Listening without interrupting shows respect	Virtue Ethics,3.222405195236206,3.440426826477051,-0.21802163124084473
Appreciating silence fosters reflection	Virtue Ethics,Appreciating silence fosters reflection	Virtue Ethics,3.221818208694458,3.9076039791107178,-0.6857857704162598
Respecting others reflects moral integrity	Virtue Ethics,Respecting others reflects moral integrity	Virtue Ethics,3.2189948558807373,3.3898255825042725,-0.17083072662353516
Valuing silence shows moral reflection	Virtue Ethics,Valuing silence shows moral reflection	Virtue Ethics,3.2164969444274902,4.628644943237305,-1.4121479988098145
Standing by principles in hard times is noble	Virtue Ethics,Standing by principles in hard times is noble	Virtue Ethics,3.2151072025299072,2.507418632507324,0.707688570022583
Being teachable is a moral strength	Virtue Ethics,Being teachable is a moral strength	Virtue Ethics,3.2068378925323486,3.6448307037353516,-0.43799281120300293
Allowing room for failure shows patience	Virtue Ethics,Allowing room for failure shows patience	Virtue Ethics,3.2050373554229736,2.508563280105591,0.6964740753173828
Tactfulness avoids unnecessary harm	Virtue Ethics,Tactfulness avoids unnecessary harm	Virtue Ethics,3.204315662384033,3.280829668045044,-0.07651400566101074
Sustaining hope in hardship is admirable	Virtue Ethics,Sustaining hope in hardship is admirable	Virtue Ethics,3.20342755317688,2.463357448577881,0.740070104598999
Cultivating peace in relationships is good	Virtue Ethics,Cultivating peace in relationships is good	Virtue Ethics,3.19400954246521,3.167562961578369,0.02644658088684082
Practicing gratitude cultivates happiness	Virtue Ethics,Practicing gratitude cultivates happiness	Virtue Ethics,3.193493127822876,4.099021911621094,-0.9055287837982178
Promoting ethical dialogue is good	Virtue Ethics,Promoting ethical dialogue is good	Virtue Ethics,3.1845388412475586,4.032756805419922,-0.8482179641723633
Appreciating beauty shows moral sensitivity	Virtue Ethics,Appreciating beauty shows moral sensitivity	Virtue Ethics,3.1842613220214844,4.45514440536499,-1.2708830833435059
Preserving honesty in hardship is noble	Virtue Ethics,Preserving honesty in hardship is noble	Virtue Ethics,3.183009147644043,3.0325186252593994,0.15049052238464355
Practicing patience shows strong character	Virtue Ethics,Practicing patience shows strong character	Virtue Ethics,3.181225538253784,3.305877923965454,-0.12465238571166992
Being open-minded is a moral asset	Virtue Ethics,Being open-minded is a moral asset	Virtue Ethics,3.1792092323303223,2.8443033695220947,0.33490586280822754
Being generous in praise is uplifting	Virtue Ethics,Being generous in praise is uplifting	Virtue Ethics,3.1790378093719482,2.4203250408172607,0.7587127685546875
Leading by example is morally inspiring	Virtue Ethics,Leading by example is morally inspiring	Virtue Ethics,3.17500901222229,4.412094593048096,-1.2370855808258057
Mentoring youth builds a moral legacy	Virtue Ethics,Mentoring youth builds a moral legacy	Virtue Ethics,3.171967029571533,3.6367299556732178,-0.46476292610168457
Celebrating others' excellence is generous	Virtue Ethics,Celebrating others' excellence is generous	Virtue Ethics,3.169816732406616,3.353986978530884,-0.18417024612426758
Respecting the elderly shows moral insight	Virtue Ethics,Respecting the elderly shows moral insight	Virtue Ethics,3.168246269226074,3.614361524581909,-0.44611525535583496
Holding space for grief is compassionate	Virtue Ethics,Holding space for grief is compassionate	Virtue Ethics,3.1675336360931396,2.710747718811035,0.4567859172821045
Showing grace to the imperfect is good	Virtue Ethics,Showing grace to the imperfect is good	Virtue Ethics,3.166832208633423,2.3881139755249023,0.7787182331085205
Respecting personal boundaries is moral	Virtue Ethics,Respecting personal boundaries is moral	Virtue Ethics,3.1597747802734375,3.4010121822357178,-0.24123740196228027
Accepting feedback is good for growth	Virtue Ethics,Accepting feedback is good for growth	Virtue Ethics,3.149176836013794,3.992609977722168,-0.843433141708374
Diligence is morally commendable	Virtue Ethics,Diligence is morally commendable	Virtue Ethics,3.1487019062042236,4.210063934326172,-1.0613620281219482
Helping those in need demonstrates compassion	Virtue Ethics,Helping those in need demonstrates compassion	Virtue Ethics,3.1474597454071045,3.24092960357666,-0.09346985816955566
Letting go of resentment is admirable	Virtue Ethics,Letting go of resentment is admirable	Virtue Ethics,3.147197961807251,3.0111210346221924,0.1360769271850586
Acknowledging privilege is a moral insight	Virtue Ethics,Acknowledging privilege is a moral insight	Virtue Ethics,3.1456642150878906,3.9464714527130127,-0.8008072376251221
Maintaining moral habits builds character	Virtue Ethics,Maintaining moral habits builds character	Virtue Ethics,3.1456480026245117,3.7245066165924072,-0.5788586139678955
Self-discipline is a key moral trait	Virtue Ethics,Self-discipline is a key moral trait	Virtue Ethics,3.1451361179351807,3.5054681301116943,-0.36033201217651367
Standing with the oppressed shows moral strength	Virtue Ethics,Standing with the oppressed shows moral strength	Virtue Ethics,3.1429941654205322,4.1455535888671875,-1.0025594234466553
Choosing moderation is a moral practice	Virtue Ethics,Choosing moderation is a moral practice	Virtue Ethics,3.138796806335449,4.125363826751709,-0.9865670204162598
Stepping aside for others is generous	Virtue Ethics,Stepping aside for others is generous	Virtue Ethics,3.1351325511932373,2.7830631732940674,0.3520693778991699
Taking time to understand others shows character	Virtue Ethics,Taking time to understand others shows character	Virtue Ethics,3.11322021484375,3.2729265689849854,-0.15970635414123535
Showing restraint in judgment is admirable	Virtue Ethics,Showing restraint in judgment is admirable	Virtue Ethics,3.111849784851074,2.7767715454101562,0.33507823944091797
Asking for forgiveness shows humility	Virtue Ethics,Asking for forgiveness shows humility	Virtue Ethics,3.111816644668579,3.3792853355407715,-0.2674686908721924
Staying humble in success is admirable	Virtue Ethics,Staying humble in success is admirable	Virtue Ethics,3.108978033065796,3.2463157176971436,-0.13733768463134766
Supporting others' success is generous	Virtue Ethics,Supporting others' success is generous	Virtue Ethics,3.1056325435638428,2.688115358352661,0.41751718521118164
Supporting moral education helps society	Virtue Ethics,Supporting moral education helps society	Virtue Ethics,3.100904703140259,3.9935483932495117,-0.8926436901092529
Giving sincere compliments builds others up	Virtue Ethics,Giving sincere compliments builds others up	Virtue Ethics,3.098869562149048,3.235438585281372,-0.13656902313232422
Acknowledging the truth is morally vital	Virtue Ethics,Acknowledging the truth is morally vital	Virtue Ethics,3.096686601638794,3.969574213027954,-0.8728876113891602
Praising goodness in others uplifts all	Virtue Ethics,Praising goodness in others uplifts all	Virtue Ethics,3.093515157699585,2.5703470706939697,0.5231680870056152
Practicing self-reflection builds character	Virtue Ethics,Practicing self-reflection builds character	Virtue Ethics,3.0842387676239014,4.048757076263428,-0.9645183086395264
Avoiding envy shows inner peace	Virtue Ethics,Avoiding envy shows inner peace	Virtue Ethics,3.08056640625,3.7876594066619873,-0.7070930004119873
Standing in solidarity shows moral courage	Virtue Ethics,Standing in solidarity shows moral courage	Virtue Ethics,3.077627658843994,4.305290699005127,-1.2276630401611328
Being dependable is morally valuable	Virtue Ethics,Being dependable is morally valuable	Virtue Ethics,3.074214220046997,3.925100564956665,-0.850886344909668
Letting go of pride shows maturity	Virtue Ethics,Letting go of pride shows maturity	Virtue Ethics,3.067333936691284,3.3389291763305664,-0.2715952396392822
Acting with honor elevates character	Virtue Ethics,Acting with honor elevates character	Virtue Ethics,3.062887191772461,3.8737070560455322,-0.8108198642730713
Defending the truth shows courage	Virtue Ethics,Defending the truth shows courage	Virtue Ethics,3.0620336532592773,4.265999794006348,-1.2039661407470703
Cheerfulness in hardship shows strength	Virtue Ethics,Cheerfulness in hardship shows strength	Virtue Ethics,3.06075119972229,2.391700506210327,0.6690506935119629
Treating animals kindly reflects character	Virtue Ethics,Treating animals kindly reflects character	Virtue Ethics,3.0606088638305664,3.1248114109039307,-0.06420254707336426
Avoiding cruelty is a moral imperative	Virtue Ethics,Avoiding cruelty is a moral imperative	Virtue Ethics,3.0593326091766357,3.2028825283050537,-0.14354991912841797
Avoiding mockery shows inner dignity	Virtue Ethics,Avoiding mockery shows inner dignity	Virtue Ethics,3.0545966625213623,3.5824036598205566,-0.5278069972991943
Being honest in all dealings is admirable	Virtue Ethics,Being honest in all dealings is admirable	Virtue Ethics,3.0512278079986572,3.103992462158203,-0.0527646541595459
Gratitude fosters moral growth	Virtue Ethics,Gratitude fosters moral growth	Virtue Ethics,3.0511903762817383,3.4658820629119873,-0.414691686630249
Guiding the lost is a good act	Virtue Ethics,Guiding the lost is a good act	Virtue Ethics,3.0483663082122803,4.230987071990967,-1.1826207637786865
Practicing nonviolence reflects character	Virtue Ethics,Practicing nonviolence reflects character	Virtue Ethics,3.04647159576416,2.9627768993377686,0.0836946964263916
Advising wisely shows maturity	Virtue Ethics,Advising wisely shows maturity	Virtue Ethics,3.0464465618133545,3.9297592639923096,-0.8833127021789551
Taking responsibility for actions is admirable	Virtue Ethics,Taking responsibility for actions is admirable	Virtue Ethics,3.0432944297790527,2.7144548892974854,0.3288395404815674
Speaking kindly even in disagreement shows character	Virtue Ethics,Speaking kindly even in disagreement shows character	Virtue Ethics,3.0411500930786133,3.8799617290496826,-0.8388116359710693
Correcting injustice reflects moral conviction	Virtue Ethics,Correcting injustice reflects moral conviction	Virtue Ethics,3.039269208908081,3.3812172412872314,-0.3419480323791504
Avoiding idle talk reflects discretion	Virtue Ethics,Avoiding idle talk reflects discretion	Virtue Ethics,3.0368988513946533,3.680471897125244,-0.6435730457305908
Being consistent in ethics builds trust	Virtue Ethics,Being consistent in ethics builds trust	Virtue Ethics,3.0340850353240967,3.540569543838501,-0.5064845085144043
Forgiving oneself is also important	Virtue Ethics,Forgiving oneself is also important	Virtue Ethics,3.0328314304351807,3.445423126220703,-0.41259169578552246
Living truthfully is a daily practice	Virtue Ethics,Living truthfully is a daily practice	Virtue Ethics,3.031306505203247,4.4779953956604,-1.4466888904571533
Avoiding waste demonstrates moral awareness	Virtue Ethics,Avoiding waste demonstrates moral awareness	Virtue Ethics,3.028850793838501,3.6070826053619385,-0.5782318115234375
Faithfulness to one's values is admirable	Virtue Ethics,Faithfulness to one's values is admirable	Virtue Ethics,3.026202917098999,2.8197214603424072,0.2064814567565918
Honoring commitments reflects integrity	Virtue Ethics,Honoring commitments reflects integrity	Virtue Ethics,3.022272825241089,3.706796169281006,-0.684523344039917
Being present for others is good	Virtue Ethics,Being present for others is good	Virtue Ethics,3.016366481781006,3.032789468765259,-0.01642298698425293
Showing mercy reflects deep compassion	Virtue Ethics,Showing mercy reflects deep compassion	Virtue Ethics,3.0148797035217285,2.6315877437591553,0.38329195976257324
Committing to personal growth is noble	Virtue Ethics,Committing to personal growth is noble	Virtue Ethics,3.0095160007476807,2.897709846496582,0.11180615425109863
Kindness should guide our actions	Virtue Ethics,Kindness should guide our actions	Virtue Ethics,3.0060226917266846,3.0156562328338623,-0.009633541107177734
Being mindful of words is good	Virtue Ethics,Being mindful of words is good	Virtue Ethics,3.002814531326294,3.6041066646575928,-0.6012921333312988
Seeking the good in others is admirable	Virtue Ethics,Seeking the good in others is admirable	Virtue Ethics,3.0022342205047607,2.3180480003356934,0.6841862201690674
Promoting cooperation reflects character	Virtue Ethics,Promoting cooperation reflects character	Virtue Ethics,2.9996347427368164,3.107386827468872,-0.10775208473205566
Sharing wisdom is good in age	Virtue Ethics,Sharing wisdom is good in age	Virtue Ethics,2.9976742267608643,3.36972975730896,-0.3720555305480957
Avoiding excess demonstrates self-control	Virtue Ethics,Avoiding excess demonstrates self-control	Virtue Ethics,2.996469497680664,3.1197688579559326,-0.12329936027526855
Being principled in leadership is admirable	Virtue Ethics,Being principled in leadership is admirable	Virtue Ethics,2.9955902099609375,3.489574670791626,-0.4939844608306885
Giving without expecting returns is noble	Virtue Ethics,Giving without expecting returns is noble	Virtue Ethics,2.990375280380249,3.407731533050537,-0.4173562526702881
Caring for the sick reflects character	Virtue Ethics,Caring for the sick reflects character	Virtue Ethics,2.9661853313446045,3.749505043029785,-0.7833197116851807
Mentoring others builds moral community	Virtue Ethics,Mentoring others builds moral community	Virtue Ethics,2.9657509326934814,4.358795166015625,-1.3930442333221436
Perseverance in difficult times is admirable	Virtue Ethics,Perseverance in difficult times is admirable	Virtue Ethics,2.9643921852111816,2.3200037479400635,0.6443884372711182
